date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M
2020-07-18,28.67,32.07,25.82,3.09,70.16,14.02,1.2
2020-07-19,28.44,32.14,25.85,6.0,74.83,17.9,1.73
2020-07-20,28.29,31.69,25.8,7.62,79.71,21.99,2.53
2020-07-21,28.39,32.49,25.56,0.84,75.68,24.64,2.58
2020-07-22,28.32,31.48,25.99,0.43,77.14,21.0,2.98
2020-07-23,28.57,32.15,25.77,3.89,74.53,17.47,3.2
2020-07-24,28.77,33.18,25.57,3.79,74.21,19.29,3.28
2020-07-25,29.68,35.28,25.06,8.28,67.88,21.07,2.22
2020-07-26,28.73,33.51,24.77,2.93,69.86,21.72,2.84
2020-07-27,28.74,33.06,25.32,1.53,70.69,21.53,2.42
2020-07-28,28.4,32.32,25.3,7.48,74.96,18.64,2.35
2020-07-29,26.42,28.81,24.51,20.45,84.34,9.5,2.52
2020-07-30,28.9,34.3,24.69,0.74,73.46,23.76,2.85
2020-07-31,29.12,33.7,24.89,13.54,74.73,23.47,2.76
2020-08-01,28.33,32.22,25.27,2.65,75.63,18.61,2.94
2020-08-02,27.9,33.12,24.3,2.71,72.95,17.47,4.19
2020-08-03,28.38,33.19,24.45,0.43,71.74,15.67,4.45
2020-08-04,28.1,32.19,24.52,0.33,68.21,16.58,4.92
2020-08-05,28.88,34.28,24.54,0.02,63.38,15.86,5.29
2020-08-06,29.5,34.57,24.99,0.33,68.09,18.44,4.1
2020-08-07,30.14,36.1,25.43,0.45,66.5,21.69,3.92
2020-08-08,28.42,33.06,25.22,12.9,72.87,20.44,3.49
2020-08-09,27.11,31.17,24.04,10.06,78.16,10.72,3.76
2020-08-10,28.0,33.49,23.77,0.25,73.57,18.11,3.42
2020-08-11,29.09,35.21,24.47,1.66,71.61,20.74,3.38
2020-08-12,29.12,34.55,24.54,0.23,70.42,16.39,3.76
2020-08-13,29.03,34.42,24.82,0.3,70.88,18.79,3.25
2020-08-14,29.44,35.45,24.81,0.25,68.69,16.57,3.31
2020-08-15,28.86,33.85,24.14,0.05,68.54,17.64,3.09
2020-08-16,29.61,35.87,24.64,0.07,66.83,16.81,3.24
2020-08-17,30.29,36.32,25.33,0.32,65.93,20.03,3.09
2020-08-18,30.58,36.52,25.79,1.82,66.61,19.27,2.88
2020-08-19,29.16,33.44,25.77,0.86,71.21,19.11,2.57
2020-08-20,28.82,33.35,25.52,0.38,71.55,14.66,2.91
2020-08-21,29.51,35.09,25.06,0.45,68.84,21.39,2.32
2020-08-22,29.67,34.25,25.99,3.81,72.18,21.7,1.73
2020-08-23,29.35,33.44,26.16,12.6,75.53,21.32,1.99
2020-08-24,28.61,32.12,25.66,12.58,79.65,21.39,1.49
2020-08-25,29.18,32.97,25.5,3.4,77.2,20.09,1.42
2020-08-26,28.7,31.84,25.97,2.48,78.5,16.78,1.66
2020-08-27,28.6,32.06,25.38,3.67,77.13,21.08,1.88
2020-08-28,29.82,35.84,24.61,0.59,69.08,23.91,2.12
2020-08-29,29.58,34.34,25.57,0.4,71.64,24.01,2.13
2020-08-30,29.37,33.82,25.39,2.92,72.9,23.08,1.91
2020-08-31,29.14,33.29,25.82,6.2,77.13,23.51,1.83
2020-09-01,27.53,29.92,25.93,9.64,82.26,20.56,2.19
2020-09-02,27.14,30.43,24.64,9.26,80.75,14.29,1.75
2020-09-03,27.85,31.57,24.76,2.94,79.44,19.57,1.7
2020-09-04,28.6,32.38,25.54,1.26,79.47,20.11,1.22
2020-09-05,28.31,31.51,25.83,1.47,80.26,15.83,2.13
2020-09-06,28.7,33.92,24.24,2.45,75.28,19.92,2.95
2020-09-07,28.41,32.77,24.63,0.94,76.08,17.35,2.51
2020-09-08,28.4,32.37,25.02,1.49,77.38,21.35,1.97
2020-09-09,27.76,31.48,25.5,23.4,83.22,15.5,2.76
2020-09-10,27.4,32.3,23.92,7.84,79.42,16.12,3.68
2020-09-11,27.24,31.95,24.21,0.89,76.89,17.99,3.89
2020-09-12,27.66,32.39,23.97,0.92,74.84,11.33,2.78
2020-09-13,26.46,30.74,23.55,4.52,78.4,9.19,2.71
2020-09-14,28.02,33.73,23.47,0.61,71.39,15.16,3.59
2020-09-15,28.23,33.98,23.56,0.89,71.1,16.35,3.26
2020-09-16,28.97,34.56,24.59,0.28,72.2,19.35,2.53
2020-09-17,28.77,33.74,24.73,0.64,74.14,17.94,2.7
2020-09-18,29.42,35.4,25.04,0.72,68.67,14.03,3.74
2020-09-19,28.56,33.99,24.53,0.51,68.87,10.4,4.18
2020-09-20,27.58,32.02,24.56,0.47,68.74,11.55,5.31
2020-09-21,28.49,34.3,23.93,0.16,66.96,15.71,4.38
2020-09-22,28.91,35.22,24.23,0.02,63.62,20.3,3.97
2020-09-23,29.01,35.08,23.76,0.06,64.2,24.43,3.01
2020-09-24,28.89,34.09,24.47,0.27,69.86,22.61,2.4
2020-09-25,28.16,31.27,25.75,2.5,75.79,14.55,2.13
2020-09-26,27.86,32.22,24.85,1.27,72.32,16.95,2.84
2020-09-27,28.28,32.47,23.75,11.88,72.33,17.24,1.9
2020-09-28,27.42,31.3,24.82,16.43,83.82,18.19,2.13
2020-09-29,26.48,29.61,24.85,23.27,88.43,17.17,2.6
2020-09-30,26.8,30.48,23.99,23.92,83.37,18.02,2.75
2020-10-01,26.82,31.08,23.73,0.54,80.36,20.36,2.45
2020-10-02,27.78,32.63,23.14,0.66,77.03,21.18,2.54
2020-10-03,26.53,29.7,23.98,4.1,81.04,21.44,2.8
2020-10-04,27.4,31.95,24.17,0.27,75.89,17.43,2.68
2020-10-05,28.53,33.75,24.01,0.52,70.79,22.7,2.38
2020-10-06,29.16,35.1,24.01,2.16,73.35,22.14,1.82
2020-10-07,29.15,34.07,24.98,4.46,77.73,21.41,2.07
2020-10-08,28.44,31.49,26.07,9.5,82.91,20.06,1.09
2020-10-09,27.66,30.79,25.36,2.88,82.52,18.19,1.89
2020-10-10,27.12,30.94,24.37,1.07,81.56,15.51,1.75
2020-10-11,26.7,30.5,24.32,0.55,79.21,14.52,3.1
2020-10-12,27.83,34.2,22.34,0.3,72.74,17.8,3.55
2020-10-13,27.7,33.09,23.82,0.21,74.99,19.59,4.08
2020-10-14,27.55,32.34,23.32,0.09,71.36,20.22,3.46
2020-10-15,28.42,34.07,23.64,0.06,70.91,22.04,2.68
2020-10-16,28.09,32.55,23.67,4.51,75.93,20.98,2.07
2020-10-17,27.87,32.1,23.95,10.39,78.86,16.09,1.55
2020-10-18,27.27,30.25,24.94,11.69,83.76,7.99,1.18
2020-10-19,27.08,30.22,24.71,7.43,85.45,12.48,1.44
2020-10-20,26.74,29.93,24.5,4.9,86.63,11.31,2.24
2020-10-21,27.42,31.43,23.76,4.58,81.86,15.13,1.87
2020-10-22,27.24,31.38,24.07,2.64,82.16,17.77,2.36
2020-10-23,27.5,31.3,24.2,3.0,80.8,15.2,2.01
2020-10-24,25.55,28.29,23.73,0.52,82.92,12.46,2.79
2020-10-25,27.43,32.24,23.16,6.35,73.78,13.16,1.15
2020-10-26,27.83,31.8,24.47,0.17,77.97,17.85,1.45
2020-10-27,27.36,31.95,23.95,0.17,80.4,18.16,2.04
2020-10-28,27.39,32.63,22.99,0.39,78.1,19.31,2.29
2020-10-29,27.08,31.75,23.34,1.28,79.92,16.47,2.77
2020-10-30,27.03,31.53,23.2,1.97,79.67,18.21,2.39
2020-10-31,27.63,32.81,23.76,0.22,73.89,20.58,1.63
2020-11-01,27.9,33.36,23.38,0.0,72.77,19.76,1.65
2020-11-02,28.15,32.78,24.5,0.02,74.96,19.08,1.47
