model,horizon,season,MAE,RMSE,R2,n
persistence,2,Samba-2015,8.77290780141844,12.717770891705067,0.9530929284787111,141
random_forest,2,Samba-2015,4.434925700078161,8.66675272266365,0.9782164259009082,141
adaboost,2,Samba-2015,7.450836075331079,10.703821306357264,0.9667727784988452,141
xgboost_q50,2,Samba-2015,4.562016304953302,8.189986535608746,0.9805471740196987,141
persistence,2,Samba-2016,11.895531914893617,22.266546528957765,0.7487623071288156,141
random_forest,2,Samba-2016,11.318387328824983,19.983051419127293,0.7976502466998174,141
adaboost,2,Samba-2016,14.53453382744161,22.18211544658658,0.7506639988522079,141
xgboost_q50,2,Samba-2016,10.005409665014728,18.318165811202384,0.8299631546049047,141
persistence,2,Samba-2017,9.047446808510639,17.62179906047222,0.8972700393805133,141
random_forest,2,Samba-2017,5.716074000367398,11.81036945181532,0.9538551117025309,141
adaboost,2,Samba-2017,8.77842456790679,13.005788013362677,0.9440409962354314,141
xgboost_q50,2,Samba-2017,6.005987322753202,12.372416996721158,0.9493585968938081,141
persistence,2,Samba-2018,11.015460992907801,16.523772902154818,0.8823200202376769,141
random_forest,2,Samba-2018,7.296508241941329,12.554694326076111,0.9320645531326122,141
adaboost,2,Samba-2018,9.636450806029105,14.775579540359708,0.9059035588224187,141
xgboost_q50,2,Samba-2018,6.645393290874806,11.612788561156778,0.9418757733714889,141
persistence,2,Samba-2019,9.02645390070922,11.167442769684758,0.787354482314679,141
random_forest,2,Samba-2019,3.9421991724372614,5.232492505341331,0.9533162223760636,141
adaboost,2,Samba-2019,6.096731725953179,7.845333036039862,0.8950526371067775,141
xgboost_q50,2,Samba-2019,4.255465227323222,5.593353556763844,0.9466550508144269,141
persistence,2,Samba-2020,11.097234042553191,16.146265426842287,0.8548190440434098,141
random_forest,2,Samba-2020,6.325478764213873,11.171103467485404,0.9305043493635313,141
adaboost,2,Samba-2020,9.339760992488248,14.076586012120217,0.8896530958319452,141
xgboost_q50,2,Samba-2020,5.571560658174204,8.94133477371789,0.9554784589928151,141
persistence,2,Samba-2021,8.112836879432624,12.750503842082098,0.9012136272134268,141
random_forest,2,Samba-2021,4.832864545504498,7.649818856395138,0.9644414003627254,141
adaboost,2,Samba-2021,7.022592445427382,11.131622346502331,0.9247061898890563,141
xgboost_q50,2,Samba-2021,4.371023107995378,7.074688190713169,0.9695871616493622,141
persistence,2,Samba-2022,9.045886524822695,13.180298832157202,0.9153515700808583,141
random_forest,2,Samba-2022,5.39542934566433,8.123884186408985,0.9678414957909595,141
adaboost,2,Samba-2022,7.956808022683324,11.304806062330432,0.937727740257633,141
xgboost_q50,2,Samba-2022,5.341593984712101,8.529659767666713,0.9645487290281887,141
persistence,2,Samba-2023,11.506170212765959,20.829401495642323,0.8276275167931813,141
random_forest,2,Samba-2023,6.95964212571925,13.226632526788972,0.9304954987664069,141
adaboost,2,Samba-2023,9.618783826810644,15.900796262189498,0.899549500293811,141
xgboost_q50,2,Samba-2023,6.964674110953689,14.68718028955515,0.9142979505537658,141
